企業ID,企業名,メールアドレス,募集職種,メール用職種,送信日時,送信結果,トラッキングID,エラーメッセージ,件名,担当者メールアドレス,送信エラー
1533,株式会社大阪一徹,suenaga.shigeharu.231038@gmail.com,キッチンスタッフ,キッチンスタッフ,2025-06-24 16:30:45,success,1533_suenaga.shigeharu.231038@gmail.com_20250624163045_da64eef6,,【キッチンスタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1534,鴻池運輸株式会社,info@konoike.net,倉庫作業スタッフ,倉庫作業スタッフ,2025-06-24 16:30:50,success,1534_info@konoike.net_20250624163050_00e9ab4a,,【倉庫作業スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1535,寺口運送株式会社,info@teraguchi.co.jp,倉庫作業スタッフ,倉庫作業スタッフ,2025-06-24 16:30:56,success,1535_info@teraguchi.co.jp_20250624163055_982ea4e6,,【倉庫作業スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1536,三和鋼管株式会社,info@sanwa-kokan.co.jp,ルート営業,ルート営業,2025-06-24 16:31:01,success,1536_info@sanwa-kokan.co.jp_20250624163101_b85520d5,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1537,株式会社丸菱運輸,d-sasaki@marubishi-l.jp,ルート配送ドライバー,ルート配送ドライバー,2025-06-24 16:31:06,success,1537_d-sasaki@marubishi-l.jp_20250624163106_bc1fd812,,【ルート配送ドライバーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1538,久保孝ペイント株式会社,info@kuboko.co.jp,社内SE,社内SE,2025-06-24 16:31:11,success,1538_info@kuboko.co.jp_20250624163111_a210f02b,,【社内SEの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1539,フローバル株式会社,info@flobal.jp,法人営業職,法人営業職,2025-06-24 16:31:16,success,1539_info@flobal.jp_20250624163116_ee07a42a,,【法人営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1540,みくりや青果株式会社,info@118mikuriya.co.jp,バイヤー,バイヤー,2025-06-24 16:31:21,success,1540_info@118mikuriya.co.jp_20250624163121_1b47d3c2,,【バイヤーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1541,エイ・アール工事株式会社,info@arkoji.co.jp,提案営業,提案営業,2025-06-24 16:31:27,success,1541_info@arkoji.co.jp_20250624163126_b7d8a1ac,,【提案営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1542,マルコマ株式会社,info@marukoma.com,営業職,営業職,2025-06-24 16:31:32,success,1542_info@marukoma.com_20250624163132_807336e8,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1543,株式会社ディライト,info@delight-ph.com,薬剤師,薬剤師,2025-06-24 16:31:37,success,1543_info@delight-ph.com_20250624163137_5981099c,,【薬剤師の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1544,有限会社かんまき薬局,info@abc-ph.co.jp,人事総務,人事総務,2025-06-24 16:31:42,success,1544_info@abc-ph.co.jp_20250624163142_0a56bb12,,【人事総務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1545,パック・ミズタニ株式会社,saiyo@p-mizutani.com,倉庫作業スタッフ,倉庫作業スタッフ,2025-06-24 16:31:47,success,1545_saiyo@p-mizutani.com_20250624163147_dda3b71d,,【倉庫作業スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1546,大和財託株式会社,info@recruit.yamatozaitaku.com,建築施工管理,建築施工管理,2025-06-24 16:31:53,success,1546_info@recruit.yamatozaitaku.com_20250624163152_dda2f774,,【建築施工管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1547,堺商工会議所,info@sakaicci.or.jp,商工会議所職員,商工会議所職員,2025-06-24 16:31:58,success,1547_info@sakaicci.or.jp_20250624163158_ec77fd1d,,【商工会議所職員の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1548,株式会社正久,info@masahisa-corp.jp,営業事務,営業事務,2025-06-24 16:32:03,success,1548_info@masahisa-corp.jp_20250624163203_ffdaf1b2,,【営業事務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1549,株式会社エキスプレス,info@express.co.jp,ドライバー,ドライバー,2025-06-24 16:32:09,success,1549_info@express.co.jp_20250624163208_b7491d20,,【ドライバーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1550,株式会社アスク,info@ask-ssc.jp,管理スタッフ,管理スタッフ,2025-06-24 16:32:14,success,1550_info@ask-ssc.jp_20250624163214_70287c7b,,【管理スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1551,三洋化学工業株式会社,info@sc-sanyo.co.jp,プラスチック製品の設計開発,プラスチック製品の設計開発,2025-06-24 16:32:19,success,1551_info@sc-sanyo.co.jp_20250624163219_374b82a2,,【プラスチック製品の設計開発の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1552,医療法人光誠会,info@shirobato.com,経理事務,経理事務,2025-06-24 16:32:24,success,1552_info@shirobato.com_20250624163224_cb42e42b,,【経理事務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1553,不動恒産株式会社,info@fudo-kosan.co.jp,不動産賃貸管理業務,不動産賃貸管理業務,2025-06-24 16:32:29,success,1553_info@fudo-kosan.co.jp_20250624163229_52263455,,【不動産賃貸管理業務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1554,旭計器工業株式会社,koyama@asahigauge.co.jp,法人営業職,法人営業職,2025-06-24 16:32:34,success,1554_koyama@asahigauge.co.jp_20250624163234_3ca90e73,,【法人営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1555,日本臓器製薬株式会社,info@nippon-zoki.co.jp,MR職,MR職,2025-06-24 16:32:39,success,1555_info@nippon-zoki.co.jp_20250624163239_c0d3fef6,,【MR職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1556,株式会社大阪メトロサービス,info@osakametro-service.jp,総務,総務,2025-06-24 16:32:45,success,1556_info@osakametro-service.jp_20250624163244_960482a4,,【総務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1557,株式会社エフアンドコー,info@fandco.co.jp,調理スタッフ,調理スタッフ,2025-06-24 16:32:50,success,1557_info@fandco.co.jp_20250624163250_a20c12aa,,【調理スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1558,株式会社インターテクノ,info@inter-techno.jp,機械設計,機械設計,2025-06-24 16:32:55,success,1558_info@inter-techno.jp_20250624163255_35fb1102,,【機械設計の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1559,ALL TIME GROUND SERVICE株式会社,info@atg-fbo.co.jp,グランドハンドリング,グランドハンドリング,2025-06-24 16:33:00,success,1559_info@atg-fbo.co.jp_20250624163300_db357ab6,,【グランドハンドリングの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1560,株式会社バディエステート,info@buddy-estate.net,不動産営業,不動産営業,2025-06-24 16:33:05,success,1560_info@buddy-estate.net_20250624163305_f4b23866,,【不動産営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1561,社会福祉法人満寿園,info@manjuen.info,保育士,保育士,2025-06-24 16:33:10,success,1561_info@manjuen.info_20250624163310_c35c3e81,,【保育士の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1562,株式会社TTマネジメント,info@ttmgt.co.jp,事務スタッフ,事務スタッフ,2025-06-24 16:33:16,success,1562_info@ttmgt.co.jp_20250624163315_3097e21f,,【事務スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1563,株式会社アップライト,info@upright.co.jp,ITエンジニア,ITエンジニア,2025-06-24 16:33:21,success,1563_info@upright.co.jp_20250624163321_21ce1d36,,【ITエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1564,株式会社NEX Consulting,info@recruit.nex-cnsl.co.jp,バックオフィス職,バックオフィス職,2025-06-24 16:33:26,success,1564_info@recruit.nex-cnsl.co.jp_20250624163326_59460bbd,,【バックオフィス職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1565,株式会社NASH OSA,nash.location.osaka@gmail.com,ロケバスドライバー,ロケバスドライバー,2025-06-24 16:33:31,success,1565_nash.location.osaka@gmail.com_20250624163331_d478f535,,【ロケバスドライバーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1566,株式会社高槻葬祭,info@takatsukisousai.co.jp,葬祭プランナー,葬祭プランナー,2025-06-24 16:33:36,success,1566_info@takatsukisousai.co.jp_20250624163336_2e7f3a25,,【葬祭プランナーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1567,林純薬工業株式会社,info@hpc-j.co.jp,提案営業,提案営業,2025-06-24 16:33:41,success,1567_info@hpc-j.co.jp_20250624163341_4a5ed3d6,,【提案営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1568,株式会社ＭｉｒａＸ,info@mira-x.co.jp,SESエンジニア,SESエンジニア,2025-06-24 16:33:47,success,1568_info@mira-x.co.jp_20250624163346_72dabdb6,,【SESエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1568,株式会社ＭｉｒａＸ,info@mira-x.co.jp,SESエンジニア,SESエンジニア,2025-06-25 09:16:53,unsubscribed,,配信停止: Googleフォーム申請 (時刻: 2025/06/25 8:50:20),【SESエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1569,特定非営利活動法人障害者の自立を支えるサポートネットワーク,info@sapone.or.jp,ホームヘルパー,ホームヘルパー,2025-06-24 16:33:52,success,1569_info@sapone.or.jp_20250624163352_e1f41fc2,,【ホームヘルパーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1570,富士ホームサービス株式会社,info@fujihomes.co.jp,不動産営業,不動産営業,2025-06-24 16:33:57,success,1570_info@fujihomes.co.jp_20250624163357_ee1c2c6f,,【不動産営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1571,株式会社ＮＲスタイル,info@nrstyle.info,営業職,営業職,2025-06-24 16:34:02,success,1571_info@nrstyle.info_20250624163402_cd7e9a29,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1572,松井鋼材株式会社,info@matsuikozai.com,ルート営業,ルート営業,2025-06-24 16:34:07,success,1572_info@matsuikozai.com_20250624163407_fc9ed2ac,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1573,ビーエルテック株式会社,info@bl-tec.co.jp,法人営業職,法人営業職,2025-06-24 16:34:12,success,1573_info@bl-tec.co.jp_20250624163412_5ae59a15,,【法人営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1574,株式会社キャリアプログラム,info@careerprogram.jp,エリアマネージャー,エリアマネージャー,2025-06-24 16:34:18,success,1574_info@careerprogram.jp_20250624163417_f0aa8701,,【エリアマネージャーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1575,クラスターテクノロジー株式会社,info@cluster-tech.co.jp,生産技術,生産技術,2025-06-24 16:34:23,success,1575_info@cluster-tech.co.jp_20250624163423_f8cb8dd1,,【生産技術の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1576,株式会社アサヒウェルネスフーズ,info@asahi-wf.jp,調理スタッフ,調理スタッフ,2025-06-24 16:34:28,success,1576_info@asahi-wf.jp_20250624163428_46683811,,【調理スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1577,株式会社マクティズム,saiyou01@mactism.com,ITエンジニア,ITエンジニア,2025-06-24 16:34:33,success,1577_saiyou01@mactism.com_20250624163433_f002e146,,【ITエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1578,シプネス株式会社,info@cipnes.co.jp,製造スタッフ,製造スタッフ,2025-06-24 16:34:38,success,1578_info@cipnes.co.jp_20250624163438_53010006,,【製造スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1579,株式会社開智総合学院,info@kaichi-sg.jp,塾講師,塾講師,2025-06-24 16:34:43,success,1579_info@kaichi-sg.jp_20250624163443_bc402996,,【塾講師の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1580,株式会社JoBins,info@corp.jobins.jp,カスタマーサクセス,カスタマーサクセス,2025-06-24 16:34:49,success,1580_info@corp.jobins.jp_20250624163448_e6b1e265,,【カスタマーサクセスの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1581,株式会社シュテルン天王寺,info@stern-tennoji.co.jp,経理事務,経理事務,2025-06-24 16:34:54,success,1581_info@stern-tennoji.co.jp_20250624163454_0a4775c1,,【経理事務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1582,株式会社UNION,info@union-co.jp,WEBマーケター,WEBマーケター,2025-06-24 16:34:59,success,1582_info@union-co.jp_20250624163459_09982e76,,【WEBマーケターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1583,株式会社オフィスシャッツ,info@schz.jp,消防設備メンテナンス,消防設備メンテナンス,2025-06-24 16:35:04,success,1583_info@schz.jp_20250624163504_572a2d87,,【消防設備メンテナンスの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1584,株式会社ガスネット,info@gas-net.co.jp,ルート営業,ルート営業,2025-06-24 16:35:09,success,1584_info@gas-net.co.jp_20250624163509_09969c4f,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1585,サンワ株式会社,info@sanwa3801.com,機械エンジニア,機械エンジニア,2025-06-24 16:35:14,success,1585_info@sanwa3801.com_20250624163514_f25589c6,,【機械エンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1586,株式会社ウサ美物流,info@usami-buturyu.com,配送ドライバー,配送ドライバー,2025-06-24 16:35:20,success,1586_info@usami-buturyu.com_20250624163519_c889a82c,,【配送ドライバーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1587,医療法人寺西報恩会,info@ngh.or.jp,看護師,看護師,2025-06-24 16:35:25,success,1587_info@ngh.or.jp_20250624163525_3e938c64,,【看護師の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1588,第一樹脂工業株式会社,t.booster-entry-85@mynavi.jp,品質管理,品質管理,2025-06-24 16:35:30,success,1588_t.booster-entry-85@mynavi.jp_20250624163530_5ba77459,,【品質管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1589,株式会社A KNOT,info@aknot.jp,IT総合職,IT総合職,2025-06-24 16:35:35,success,1589_info@aknot.jp_20250624163535_558200f4,,【IT総合職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1590,株式会社ワイズ,info@waiz-g.jp,ルート営業,ルート営業,2025-06-24 16:35:40,success,1590_info@waiz-g.jp_20250624163540_e33eec33,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1591,株式会社Telemarketing One,info@telemarketing-one.com,SV候補,SV候補,2025-06-24 16:35:45,success,1591_info@telemarketing-one.com_20250624163545_faa1d4c5,,【SV候補の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1592,株式会社ジェイ・アンド・エフ,info@jandf.co.jp,企画営業職,企画営業職,2025-06-24 16:35:51,success,1592_info@jandf.co.jp_20250624163550_849cb59c,,【企画営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1593,株式会社クラブコスメチックス,info@clubcosmetics.co.jp,生産管理,生産管理,2025-06-24 16:35:56,success,1593_info@clubcosmetics.co.jp_20250624163556_d13e4d7e,,【生産管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1594,株式会社セカンドセレクション,info@secondselection.com,Webエンジニア,Webエンジニア,2025-06-24 16:36:01,success,1594_info@secondselection.com_20250624163601_22a07278,,【Webエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1595,株式会社関西ビルド,info@kansai-build.co.jp,安全確認スタッフ,安全確認スタッフ,2025-06-24 16:36:06,success,1595_info@kansai-build.co.jp_20250624163606_8aa0d556,,【安全確認スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1596,株式会社Clears,info@clrs.co.jp,営業職,営業職,2025-06-24 16:36:11,success,1596_info@clrs.co.jp_20250624163611_cef2a071,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1597,株式会社フェース,info@faith-gr.co.jp,サロン向け提案営業,サロン向け提案営業,2025-06-24 16:36:16,success,1597_info@faith-gr.co.jp_20250624163616_4fb35896,,【サロン向け提案営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1598,ダイキチレントオール株式会社,info@daikichi-rentall.co.jp,法人営業職,法人営業職,2025-06-24 16:36:22,success,1598_info@daikichi-rentall.co.jp_20250624163621_91cfd79b,,【法人営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1599,スターダストシステム株式会社,info@sds-net.co.jp,ITエンジニア,ITエンジニア,2025-06-24 16:36:27,success,1599_info@sds-net.co.jp_20250624163627_e179ecf2,,【ITエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1600,株式会社ヤンデザイン,info@e-yan.co.jp,設計職,設計職,2025-06-24 16:36:32,success,1600_info@e-yan.co.jp_20250624163632_5f7026ba,,【設計職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1601,株式会社明西エンジニアリング,info@meisei-er.co.jp,メンテナンスエンジニア,メンテナンスエンジニア,2025-06-24 16:36:37,success,1601_info@meisei-er.co.jp_20250624163637_6e6835f8,,【メンテナンスエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1602,株式会社高商,info@provros.jp,物流倉庫の責任者候補,物流倉庫の責任者候補,2025-06-24 16:36:42,success,1602_info@provros.jp_20250624163642_9016fa7c,,【物流倉庫の責任者候補の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1603,西大阪スペース建設株式会社,info@nishiosaka.co.jp,建築施工管理,建築施工管理,2025-06-24 16:36:47,success,1603_info@nishiosaka.co.jp_20250624163647_bfb322bf,,【建築施工管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1604,日東グラモフォン株式会社,info@n-gramophone.com,施工管理職,施工管理職,2025-06-24 16:36:53,success,1604_info@n-gramophone.com_20250624163652_71afa540,,【施工管理職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1605,白ハト食品工業株式会社,info@shirohato.com,機械メンテナンス,機械メンテナンス,2025-06-24 16:36:58,success,1605_info@shirohato.com_20250624163658_0034720c,,【機械メンテナンスの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1606,白ハト食品工業株式会社,info@shirohato.com,品質管理,品質管理,2025-06-24 16:37:03,success,1606_info@shirohato.com_20250624163703_66ee8ca0,,【品質管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1607,理水化学株式会社,info@risui-kagaku.co.jp,施工管理職,施工管理職,2025-06-24 16:37:08,success,1607_info@risui-kagaku.co.jp_20250624163708_32d04d27,,【施工管理職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1608,ほまれ税理士法人,info@homare.tax,税理士アシスタント,税理士アシスタント,2025-06-24 16:37:13,success,1608_info@homare.tax_20250624163713_b7808ea4,,【税理士アシスタントの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1609,株式会社ピー・ディー・シー,info@pdc-paper.co.jp,法人営業職,法人営業職,2025-06-24 16:37:18,success,1609_info@pdc-paper.co.jp_20250624163718_ad10482b,,【法人営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1610,鷹岡株式会社,info@takaoka.ne.jp,営業職,営業職,2025-06-24 16:37:24,success,1610_info@takaoka.ne.jp_20250624163723_0ded8f9f,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1611,参天製薬株式会社,mag.santen@mynavi.jp,営業職,営業職,2025-06-24 16:37:29,success,1611_mag.santen@mynavi.jp_20250624163729_aa0a15ab,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1612,参天製薬株式会社,mag.santen@mynavi.jp,品質管理,品質管理,2025-06-24 16:37:34,success,1612_mag.santen@mynavi.jp_20250624163734_24c74d5b,,【品質管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1613,サイバーブリッジ株式会社,m.takada@cb-holdings.co.jp,システムエンジニア,システムエンジニア,2025-06-24 16:37:39,success,1613_m.takada@cb-holdings.co.jp_20250624163739_c0365dbc,,【システムエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1614,株式会社オオサコ,info@kabu-oosako.com,営業職,営業職,2025-06-24 16:37:44,success,1614_info@kabu-oosako.com_20250624163744_0612545f,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1615,株式会社わかば経営会計,info@wakaba-ac.jp,税務コンサルタント,税務コンサルタント,2025-06-24 16:37:49,success,1615_info@wakaba-ac.jp_20250624163749_9d323840,,【税務コンサルタントの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1616,トマトランド株式会社,info@tomatoland.jp,企画営業職,企画営業職,2025-06-24 16:37:55,success,1616_info@tomatoland.jp_20250624163754_153f194a,,【企画営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1617,株式会社ウェルファン,info@welfan.co.jp,社内SE,社内SE,2025-06-24 16:38:00,success,1617_info@welfan.co.jp_20250624163800_398cf300,,【社内SEの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1618,株式会社サンエイ,info@tomatoland.jp,製造・機械オペレーター,製造・機械オペレーター,2025-06-24 16:38:05,success,1618_info@tomatoland.jp_20250624163805_9eec6556,,【製造・機械オペレーターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1619,株式会社メディアフュージョン,info@mediafusion.co.jp,営業事務,営業事務,2025-06-24 16:38:10,success,1619_info@mediafusion.co.jp_20250624163810_4456393f,,【営業事務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1620,康和商事株式会社,info@dollyribbon.jp,アパレルデザイナー,アパレルデザイナー,2025-06-24 16:38:15,success,1620_info@dollyribbon.jp_20250624163815_5df903f9,,【アパレルデザイナーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1621,IU BIM STUDIO株式会社,info@iu-bimstudio.co.jp,設計職,設計職,2025-06-24 16:38:21,success,1621_info@iu-bimstudio.co.jp_20250624163820_5aa18bc8,,【設計職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1622,株式会社ジェイアール西日本ビルト,info@jrw-built.co.jp,建築施工管理,建築施工管理,2025-06-24 16:38:26,success,1622_info@jrw-built.co.jp_20250624163826_bdd334fa,,【建築施工管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1623,株式会社バリューネットワーク,info@value-net.co.jp,営業職,営業職,2025-06-24 16:38:31,success,1623_info@value-net.co.jp_20250624163831_9c9b5b06,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1624,エナ・ホーム株式会社,info@enahome.co.jp,施工管理職,施工管理職,2025-06-24 16:38:36,success,1624_info@enahome.co.jp_20250624163836_840373dd,,【施工管理職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1625,株式会社レバレッジシステムズ,info@levesys.co.jp,自動機の機械設計,自動機の機械設計,2025-06-24 16:38:41,success,1625_info@levesys.co.jp_20250624163841_d6fb8abf,,【自動機の機械設計の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1626,大陽日酸メディカルサイト株式会社,info@tnms-sanso.co.jp,営業職,営業職,2025-06-24 16:38:46,success,1626_info@tnms-sanso.co.jp_20250624163846_5dc1f9a6,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1627,社会保険労務士法人エルクエスト,info@lquest.jp,社労士補助,社労士補助,2025-06-24 16:38:52,success,1627_info@lquest.jp_20250624163851_3c726be7,,【社労士補助の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1628,株式会社ClassLab.,info@classlab.co.jp,カスタマーサポート,カスタマーサポート,2025-06-24 16:38:57,success,1628_info@classlab.co.jp_20250624163857_a4e2f1f2,,【カスタマーサポートの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1629,倉商株式会社,info@kurasho-group.co.jp,総務・人事,総務・人事,2025-06-24 16:39:02,success,1629_info@kurasho-group.co.jp_20250624163902_3fd0d72c,,【総務・人事の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1630,医療法人彰療会,info@taisho-byoin.or.jp,社会福祉士,社会福祉士,2025-06-24 16:39:07,success,1630_info@taisho-byoin.or.jp_20250624163907_a5973d47,,【社会福祉士の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1631,株式会社グリーン・アート,info@greenart.co.jp,企画営業職,企画営業職,2025-06-24 16:39:12,success,1631_info@greenart.co.jp_20250624163912_12abebce,,【企画営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1632,株式会社ヒューマンウェイブ,info@human-wave.co.jp,車体設計,車体設計,2025-06-24 16:39:17,success,1632_info@human-wave.co.jp_20250624163917_f56a95d6,,【車体設計の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1633,株式会社Search Connect,info@search-connect.jp,人材紹介コンサルタント,人材紹介コンサルタント,2025-06-24 16:39:23,success,1633_info@search-connect.jp_20250624163922_33cbbf34,,【人材紹介コンサルタントの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1634,カタセ株式会社,info@katasekk.co.jp,法人営業職,法人営業職,2025-06-24 16:39:28,success,1634_info@katasekk.co.jp_20250624163928_55ae4656,,【法人営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1635,株式会社キョウドウマーケティング,terada@kmk.ne.jp,コールセンターSV,コールセンターSV,2025-06-24 16:39:33,success,1635_terada@kmk.ne.jp_20250624163933_c2892091,,【コールセンターSVの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1636,株式会社メルディアDC,info@meldia-dc.co.jp,施工管理職,施工管理職,2025-06-24 16:39:38,success,1636_info@meldia-dc.co.jp_20250624163938_562e15cf,,【施工管理職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1637,タカラ産業株式会社,info@takaranet.co.jp,営業職,営業職,2025-06-24 16:39:43,success,1637_info@takaranet.co.jp_20250624163943_04dba54f,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1638,ミツワ電機工業株式会社,info@mitsuwa-ec.co.jp,営業職,営業職,2025-06-24 16:39:49,success,1638_info@mitsuwa-ec.co.jp_20250624163948_aff2af06,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1639,不動技研株式会社,info@fudogiken.co.jp,成形・加工スタッフ,成形・加工スタッフ,2025-06-24 16:39:54,success,1639_info@fudogiken.co.jp_20250624163954_6718b39f,,【成形・加工スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1640,株式会社ティーアイホールディングス,recruit@tigroup.co.jp,サービスアドバイザー,サービスアドバイザー,2025-06-24 16:39:59,success,1640_recruit@tigroup.co.jp_20250624163959_3ebf932f,,【サービスアドバイザーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1641,株式会社LeTech,info@letech-corp.net,不動産開発営業,不動産開発営業,2025-06-24 16:40:04,success,1641_info@letech-corp.net_20250624164004_66728ae6,,【不動産開発営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1642,株式会社グローバルエステート,info@global-estate.jp,不動産開発営業,不動産開発営業,2025-06-24 16:40:09,success,1642_info@global-estate.jp_20250624164009_7362d010,,【不動産開発営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1643,株式会社Mプランニング,info@m-plan-co.jp,設計職,設計職,2025-06-24 16:40:14,success,1643_info@m-plan-co.jp_20250624164014_04bb94b4,,【設計職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
1644,株式会社八尾歯車,info@yaohaguruma.com,製造スタッフ,製造スタッフ,2025-06-24 16:40:20,success,1644_info@yaohaguruma.com_20250624164019_c771d3ac,,【製造スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
